PLAYER,TEAM,AFFILIATION,YEAR,OVERALL,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,PREDS,New DraftRank,PlusMinus
Tristan Thompson,Cleveland Cavaliers,Texas,2011.0,3,B12,36.0,76.8,107.4,23.1,54.6,53.65,13.9,13.6,8.0,14.5,127.0,261.0,0.487,172.0,315.0,0.546,0.0,0.0,0.0,7.2,1.8,82.9,Fr,8-Jun,13,3.34791,116.323,3.6,16072.0,all,97.8,0.70311623,118.0,163.0,54.0,152.0,0.7239,0.3553,70.0,75.0,0.9333,88.6309,84.3695,4.53819,237.951,9.71642,3.73655,5.97987,7.81152,30.9444,4.0139,3.79762,3.8333,4.0,7.8333,1.25,0.9444,2.3889,13.0833,C,0.0,-10.027823946137687,1,2
Kyrie Irving,Cleveland Cavaliers,Duke,2011.0,1,ACC,11.0,20.5,130.5,27.2,61.5,69.7,2.3,10.6,29.8,18.6,64.0,71.0,0.901,37.0,65.0,0.569,18.0,39.0,0.462,1.8,3.0,68.3,Fr,2-Jun,1,6.12884,149.048,3.0,18579.0,all,99.8,1.74076183,26.0,39.0,11.0,26.0,0.6667,0.4231,0.0,0.0,0.0,91.7011,87.1588,3.80115,61.4034,12.1928,9.40502,2.78781,13.8646,27.5455,9.48637,4.37825,0.5455,2.8182,3.3636,4.2727,1.4545,0.5455,17.4545,Scoring PG,7.29491,-10.000137905073643,2,1
Markieff Morris,Phoenix Suns,Kansas,2011.0,9,B12,38.0,60.7,118.0,25.2,62.7,64.16,13.9,24.7,11.0,19.0,103.0,153.0,0.673,170.0,272.0,0.625,25.0,59.0,0.424,4.9,1.9,46.2,Jr,10-Jun,21,3.81565,130.2,4.7,4369.0,all,76.6,0.67947974,128.0,168.0,42.0,104.0,0.7619,0.4038,47.0,50.0,0.94,87.4686,82.7681,3.72177,223.462,10.6049,5.65606,4.94879,9.37206,24.3684,6.16321,3.20885,2.7105,5.6053,8.3158,1.3947,0.7895,1.1316,13.6316,PF/C,3.61883,12.162866543747441,3,6
Tobias Harris,Charlotte Bobcats,Tennessee,2011.0,14,SEC,34.0,72.5,109.5,25.9,48.9,53.96,7.5,20.6,10.4,14.3,128.0,170.0,0.753,162.0,326.0,0.497,23.0,76.0,0.303,3.4,1.4,42.3,Fr,8-Jun,12,3.86035,123.298,2.8,16657.0,all,99.0,0.7096792,95.0,143.0,67.0,183.0,0.6643,0.3661,21.0,23.0,0.913,97.8243,91.867,3.5272,197.759,4.80112,2.71068,2.09044,6.7151,29.2059,5.33543,1.37966,1.9706,5.2941,7.2647,1.2941,0.7059,0.8529,15.3235,PF/C,4.52936,12.421228253117079,4,10
Kemba Walker,Charlotte Bobcats,Connecticut,2011.0,5,BE,41.0,92.4,117.8,31.5,47.8,54.3,3.9,11.5,28.0,11.8,258.0,315.0,0.819,241.0,512.0,0.471,75.0,227.0,0.33,0.5,3.1,42.6,Jr,1-Jun,15,7.49948,143.405,1.5,9075.0,all,97.8,1.9784861,115.0,196.0,126.0,316.0,0.5867,0.3987,3.0,3.0,1.0,97.6871,91.1048,4.59401,280.051,11.104,9.07703,2.02696,12.3485,37.6341,9.21951,3.12896,1.2927,4.1463,5.439,4.4878,1.878,0.1707,23.5366,Scoring PG,9.04886,15.292697319356193,5,0
Chris Singleton,Washington Wizards,Florida State,2011.0,13,ACC,28.0,59.6,102.7,23.6,49.5,53.06,8.2,17.0,8.9,18.2,84.0,126.0,0.667,89.0,191.0,0.466,35.0,95.0,0.368,5.9,3.9,44.1,Jr,9-Jun,31,2.61148,110.93,4.4,7190.0,all,96.8,0.54098959,47.0,79.0,42.0,111.0,0.5949,0.3784,19.0,22.0,0.8636,83.4244,80.083,4.70452,205.469,8.62793,2.09894,6.52899,8.26476,29.0714,2.98325,5.28151,2.0714,4.75,6.8214,1.1786,1.9643,1.4643,13.1071,Stretch 4,6.70093,15.550884892204522,6,7
Brandon Knight,Detroit Pistons,Kentucky,2011.0,4,SEC,38.0,89.4,107.8,26.7,50.8,55.28,2.2,10.2,23.4,19.8,136.0,171.0,0.795,130.0,282.0,0.461,87.0,231.0,0.377,0.6,1.1,33.3,Fr,3-Jun,12,4.73173,123.069,2.4,18154.0,all,99.2,1.32499436,65.0,117.0,65.0,165.0,0.5556,0.3939,5.0,6.0,0.8333,100.305,94.5951,4.01095,204.602,4.48048,4.60756,-0.127072,4.58458,35.8684,4.36431,0.220269,0.6579,3.3684,4.0263,4.1842,0.6579,0.2105,17.2895,Combo G,10.2095,16.059580763845588,7,3
Jordan Williams,New Jersey Nets,Maryland,2011.0,27,NEC,8.0,2.2,71.0,11.4,30.0,30.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,Sr,4-Jun,45,-0.183145,60.0303,4.7,67907.0,all,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,115.69,123.395,0.0280313,2.03837,-14.3295,-6.48301,-7.84653,-13.2849,2.125,-6.89389,-6.39103,0.0,0.125,0.125,0.0,0.0,0.0,0.375,Wing G,6.47671,17.276892581616266,8,19
Reggie Jackson,Oklahoma City Thunder,Boston College,2011.0,17,ACC,34.0,85.4,120.5,27.2,58.5,61.79,3.9,11.3,29.7,16.0,109.0,137.0,0.796,148.0,266.0,0.556,71.0,169.0,0.42,1.7,1.9,31.5,Jr,3-Jun,0,6.25729,137.736,2.0,6923.0,all,82.4,1.87651111,99.0,150.0,49.0,116.0,0.66,0.4224,25.0,25.0,1.0,108.416,103.775,2.74324,187.742,7.80425,7.60689,0.197362,9.35972,34.1471,8.68046,0.679261,1.0294,3.2647,4.2941,4.4706,1.0588,0.5294,18.1765,Scoring PG,9.07322,18.84443649410423,9,8
Alec Burks,Utah Jazz,Colorado,2011.0,8,B12,37.0,78.2,116.2,32.1,49.8,57.71,9.1,14.7,19.8,15.0,245.0,298.0,0.822,215.0,421.0,0.511,28.0,95.0,0.295,1.0,2.0,57.8,So,6-Jun,10,5.79718,138.341,3.0,14778.0,all,61.4,1.13404034,122.0,186.0,93.0,235.0,0.6559,0.3957,26.0,28.0,0.9286,105.007,101.415,2.76887,212.053,5.84106,6.3762,-0.535146,7.23727,31.5946,7.64884,-0.411573,2.3514,4.1081,6.4595,2.973,1.0811,0.2973,20.5135,Wing G,4.71429,20.69605446316018,10,2
